epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.6625,1.63713,1.62512,0.96749,0.31,0.25904,0.20323,0.11384,1.50432,1.19785,0.92209,0.000237302,0.000237302,0.000237302
2,74.0743,1.57439,1.22069,0.93536,0.35117,0.28257,0.22905,0.12258,1.52766,1.17966,0.92542,0.000465891,0.000465891,0.000465891
3,109.104,1.57841,1.20026,0.93124,0.37605,0.28401,0.23698,0.12964,1.52953,1.1522,0.92024,0.000685055,0.000685055,0.000685055
4,142.672,1.56561,1.17142,0.92896,0.40081,0.30088,0.2623,0.14418,1.49269,1.11434,0.91729,0.000671588,0.000671588,0.000671588
5,177.691,1.53154,1.13809,0.92232,0.38229,0.317,0.27001,0.15108,1.45761,1.11144,0.906,0.000657451,0.000657451,0.000657451
6,210.723,1.53171,1.11925,0.91728,0.4128,0.31169,0.27502,0.15299,1.45527,1.07893,0.91173,0.000643314,0.000643314,0.000643314
7,245.192,1.51262,1.09071,0.9126,0.40616,0.31993,0.28363,0.15947,1.43072,1.0748,0.90486,0.000629177,0.000629177,0.000629177
8,278.128,1.49346,1.07659,0.90855,0.42409,0.33125,0.30147,0.1684,1.43203,1.04515,0.90018,0.00061504,0.00061504,0.00061504
9,311.076,1.48883,1.06032,0.90595,0.42129,0.33884,0.3071,0.17469,1.40089,1.02671,0.89881,0.000600902,0.000600902,0.000600902
10,344.696,1.47682,1.04574,0.90449,0.43501,0.32972,0.30518,0.17355,1.41541,1.03625,0.89737,0.000586765,0.000586765,0.000586765
11,379.967,1.45907,1.03002,0.90086,0.42777,0.34601,0.31378,0.17691,1.39621,1.00863,0.89571,0.000572628,0.000572628,0.000572628
12,415.876,1.45505,1.0173,0.8988,0.43955,0.34901,0.3214,0.18254,1.39602,1.0106,0.89679,0.000558491,0.000558491,0.000558491
13,451.194,1.45099,1.00954,0.89656,0.45476,0.3506,0.33038,0.18828,1.38088,0.99905,0.89138,0.000544354,0.000544354,0.000544354
14,484.453,1.44465,1.00002,0.89566,0.45839,0.35414,0.32838,0.18865,1.36287,0.98377,0.88802,0.000530216,0.000530216,0.000530216
15,517.57,1.43785,0.98998,0.89166,0.46608,0.35173,0.32841,0.18855,1.36849,0.98382,0.8872,0.000516079,0.000516079,0.000516079
16,551.309,1.42327,0.97891,0.89004,0.45516,0.36279,0.34107,0.19422,1.35761,0.96633,0.88693,0.000501942,0.000501942,0.000501942
17,586.034,1.42772,0.97753,0.89038,0.47751,0.35141,0.34073,0.19447,1.35476,0.9607,0.88623,0.000487805,0.000487805,0.000487805
18,621.31,1.42655,0.97186,0.8876,0.44997,0.36591,0.33822,0.193,1.37913,0.96888,0.89011,0.000473668,0.000473668,0.000473668
19,656.229,1.41121,0.95897,0.88696,0.4894,0.35811,0.34562,0.19841,1.35193,0.95889,0.88234,0.00045953,0.00045953,0.00045953
20,690.739,1.39268,0.94493,0.88458,0.47555,0.35162,0.33923,0.19625,1.35696,0.96573,0.88615,0.000445393,0.000445393,0.000445393
21,724.626,1.40268,0.94393,0.88525,0.48854,0.36404,0.35199,0.20313,1.35104,0.94433,0.88501,0.000431256,0.000431256,0.000431256
22,757.996,1.39702,0.94053,0.8838,0.48494,0.36249,0.34979,0.20133,1.34881,0.94452,0.88529,0.000417119,0.000417119,0.000417119
23,791.851,1.3921,0.93524,0.88283,0.46491,0.36952,0.34907,0.19964,1.34566,0.95009,0.88236,0.000402982,0.000402982,0.000402982
24,825.803,1.38349,0.92397,0.87915,0.47546,0.37218,0.35357,0.20384,1.34435,0.94632,0.88185,0.000388844,0.000388844,0.000388844
25,860.379,1.37557,0.91555,0.87843,0.49006,0.36991,0.35322,0.20494,1.33139,0.93859,0.87985,0.000374707,0.000374707,0.000374707
26,895.234,1.37751,0.91313,0.8814,0.49084,0.36826,0.35667,0.20554,1.33493,0.93527,0.88041,0.00036057,0.00036057,0.00036057
27,928.711,1.37965,0.91002,0.87586,0.4874,0.37552,0.36412,0.20914,1.33107,0.92916,0.87888,0.000346433,0.000346433,0.000346433
28,962.256,1.36871,0.90122,0.87727,0.49343,0.37747,0.36737,0.21087,1.32526,0.92537,0.87816,0.000332296,0.000332296,0.000332296
29,996.055,1.35579,0.89507,0.87562,0.4942,0.37284,0.36587,0.21261,1.3193,0.91888,0.87712,0.000318158,0.000318158,0.000318158
30,1029.22,1.36027,0.89236,0.87347,0.49616,0.3806,0.3686,0.2131,1.32528,0.91972,0.8771,0.000304021,0.000304021,0.000304021
31,1062.88,1.34553,0.87955,0.87435,0.49327,0.38111,0.36794,0.21141,1.32371,0.92406,0.87837,0.000289884,0.000289884,0.000289884
32,1097.01,1.34634,0.87644,0.87359,0.48651,0.38226,0.36795,0.2137,1.32272,0.91521,0.87783,0.000275747,0.000275747,0.000275747
33,1130.5,1.35114,0.87586,0.87314,0.50416,0.37646,0.36994,0.21389,1.31563,0.9131,0.87617,0.00026161,0.00026161,0.00026161
34,1163.62,1.33929,0.86431,0.87006,0.51294,0.37731,0.37396,0.21677,1.31773,0.90938,0.87644,0.000247472,0.000247472,0.000247472
35,1196.66,1.33851,0.86011,0.86952,0.50423,0.38026,0.37376,0.21581,1.31618,0.90916,0.87586,0.000233335,0.000233335,0.000233335
36,1230.92,1.33387,0.85681,0.87042,0.50809,0.37654,0.37306,0.21566,1.31398,0.91265,0.8756,0.000219198,0.000219198,0.000219198
37,1265.65,1.32942,0.85035,0.86857,0.50096,0.38432,0.3775,0.21826,1.31164,0.90229,0.87414,0.000205061,0.000205061,0.000205061
