epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6716,1.96358,2.80163,1.03283,0.32627,0.17959,0.09423,0.04856,1.7575,1.68217,0.97464,0.000236861,0.000236861,0.000236861
2,52.5152,1.81086,1.60646,0.97549,0.30196,0.20125,0.13259,0.07122,1.73403,1.46723,0.96103,0.000451356,0.000451356,0.000451356
3,76.6797,1.77622,1.48044,0.96463,0.22166,0.22096,0.14855,0.07895,1.71842,1.3752,0.944,0.000642288,0.000642288,0.000642288
4,100.29,1.73244,1.40866,0.95686,0.29254,0.24441,0.18,0.09749,1.65607,1.30896,0.94097,0.000607971,0.000607971,0.000607971
5,125.513,1.70432,1.3477,0.95026,0.31811,0.26016,0.20314,0.11044,1.61981,1.26539,0.93829,0.000572628,0.000572628,0.000572628
6,150.497,1.67926,1.3026,0.94302,0.35001,0.2496,0.21135,0.11666,1.59485,1.21774,0.9272,0.000537285,0.000537285,0.000537285
7,175.266,1.66367,1.27377,0.93957,0.32671,0.26665,0.21367,0.1191,1.56619,1.20929,0.92894,0.000501942,0.000501942,0.000501942
8,200.399,1.64679,1.24952,0.93524,0.34363,0.25978,0.21881,0.12043,1.58895,1.20073,0.92824,0.000466599,0.000466599,0.000466599
9,225.758,1.64014,1.23821,0.9317,0.32492,0.25352,0.21315,0.11939,1.56775,1.21392,0.92445,0.000431256,0.000431256,0.000431256
10,250.185,1.6173,1.20824,0.93035,0.33104,0.27896,0.23304,0.12869,1.5571,1.16923,0.91913,0.000395913,0.000395913,0.000395913
11,292.18,1.56698,1.18887,0.9329,0.36256,0.27397,0.23727,0.1312,1.55104,1.16427,0.92234,0.00036057,0.00036057,0.00036057
12,314.833,1.54859,1.15773,0.92885,0.35985,0.28571,0.24365,0.13396,1.55153,1.15349,0.91769,0.000325227,0.000325227,0.000325227
13,337.353,1.53707,1.13846,0.92495,0.3561,0.27772,0.23907,0.13065,1.53987,1.14944,0.91638,0.000289884,0.000289884,0.000289884
14,359.515,1.52611,1.12272,0.92328,0.36963,0.28536,0.24675,0.13606,1.52623,1.13521,0.91116,0.000254541,0.000254541,0.000254541
15,381.604,1.51182,1.10382,0.92149,0.37727,0.28952,0.24699,0.13766,1.52377,1.11938,0.91051,0.000219198,0.000219198,0.000219198
16,403.508,1.50527,1.09493,0.91788,0.37757,0.28756,0.25378,0.14172,1.5105,1.10729,0.9092,0.000183855,0.000183855,0.000183855
17,425.942,1.49251,1.07597,0.91457,0.38464,0.29279,0.25317,0.14155,1.50391,1.10349,0.90679,0.000148512,0.000148512,0.000148512
18,448.087,1.48149,1.06603,0.9129,0.388,0.29667,0.26277,0.14668,1.49259,1.08832,0.90555,0.000113169,0.000113169,0.000113169
19,470.267,1.4678,1.04965,0.91053,0.38875,0.29791,0.26286,0.14736,1.48442,1.08337,0.90458,7.7826e-05,7.7826e-05,7.7826e-05
20,492.894,1.46826,1.04504,0.9075,0.41012,0.29146,0.26679,0.14895,1.48528,1.08018,0.90364,4.2483e-05,4.2483e-05,4.2483e-05
