epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.0113,1.60506,1.64474,0.96677,0.3456,0.26754,0.20793,0.11524,1.50818,1.18271,0.92414,0.000237302,0.000237302,0.000237302
2,85.4231,1.56156,1.25518,0.94466,0.38723,0.27564,0.22632,0.12346,1.52469,1.22207,0.92533,0.000428247,0.000428247,0.000428247
3,116.449,1.53881,1.1977,0.93993,0.38043,0.28371,0.2446,0.1309,1.54851,1.1686,0.92472,0.000572068,0.000572068,0.000572068
4,147.419,1.51775,1.15504,0.93196,0.38806,0.30717,0.26209,0.1457,1.50239,1.11144,0.9141,0.000501942,0.000501942,0.000501942
5,178.647,1.49073,1.1077,0.92313,0.41351,0.30157,0.27095,0.15124,1.46494,1.08625,0.90822,0.000431256,0.000431256,0.000431256
6,209.593,1.4555,1.0658,0.91665,0.42117,0.32411,0.29608,0.16844,1.41714,1.04937,0.90123,0.00036057,0.00036057,0.00036057
7,240.84,1.43338,1.03085,0.91049,0.43965,0.32405,0.29531,0.16778,1.41249,1.03428,0.90098,0.000289884,0.000289884,0.000289884
8,271.913,1.41247,0.99941,0.9025,0.43999,0.32633,0.30151,0.17219,1.40188,1.01796,0.89654,0.000219198,0.000219198,0.000219198
9,303.772,1.38481,0.96341,0.89685,0.45572,0.33675,0.31669,0.18261,1.3703,0.99104,0.88766,0.000148512,0.000148512,0.000148512
10,335.832,1.36731,0.93854,0.89141,0.46295,0.34976,0.33053,0.19031,1.36563,0.97069,0.88715,7.7826e-05,7.7826e-05,7.7826e-05
