epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8989,1.91372,2.58809,1.02734,0.27711,0.18191,0.10167,0.05054,1.82272,1.59699,0.99356,0.000236828,0.000236828,0.000236828
2,62.8624,1.76144,1.5988,0.98184,0.24606,0.20417,0.14688,0.07908,1.68251,1.40413,0.95201,0.00042782,0.00042782,0.00042782
3,83.0899,1.70545,1.47246,0.96839,0.26113,0.21024,0.15538,0.08084,1.71175,1.40228,0.95556,0.000571688,0.000571688,0.000571688
4,103.44,1.6821,1.39888,0.96166,0.28889,0.22666,0.16922,0.08983,1.65182,1.334,0.94625,0.000501942,0.000501942,0.000501942
5,123.399,1.64338,1.32327,0.95436,0.32629,0.24247,0.1986,0.10986,1.60755,1.24681,0.93451,0.000431256,0.000431256,0.000431256
6,143.793,1.61262,1.27769,0.94787,0.32904,0.25466,0.21175,0.11486,1.60092,1.24052,0.93925,0.00036057,0.00036057,0.00036057
7,164.308,1.60241,1.24443,0.94174,0.33669,0.26613,0.21741,0.11939,1.56846,1.19628,0.93274,0.000289884,0.000289884,0.000289884
8,184.86,1.5785,1.21541,0.93544,0.32923,0.26169,0.21784,0.12068,1.56346,1.1861,0.92459,0.000219198,0.000219198,0.000219198
9,205.24,1.5598,1.18282,0.93159,0.36002,0.27325,0.23052,0.12813,1.54072,1.16215,0.92077,0.000148512,0.000148512,0.000148512
10,225.729,1.54375,1.16312,0.92684,0.35201,0.2753,0.23349,0.13029,1.53286,1.1467,0.91718,7.7826e-05,7.7826e-05,7.7826e-05
