Run Name,Model Size (Params),mAP50,mAP50-95,Precision,Recall
baseline_run,2584102,0.098,0.050,0.173,0.157
exp_high_lr,2584102,0.120,0.062,0.221,0.170
exp_low_lr,2584102,0.120,0.062,0.221,0.170
yolo11n_10e,2584102,0.237,0.133,0.358,0.276
yolo11n_20e,2584102,0.267,0.150,0.409,0.291
yolo11n_50e,2584102,0.294,0.165,0.420,0.325
yolo11s_10e,9416670,0.331,0.191,0.462,0.351
yolo11s_20e,9416670,0.357,0.206,0.489,0.370
yolov5n_10e,2504894,0.214,0.117,0.320,0.261
yolov8n_10e,3007598,0.234,0.131,0.351,0.276
